distance,Hard,Hard_GW,Standard,Standard_GW,Soft,pslibrary.1.0.0 PAW (precision),pslibrary.1.0.0 PAW (efficiency),AVDZ,AVTZ,AVQZ,AV5Z,AV6Z
2.7,-0.02702537,-0.0268852,-0.02903953,-0.02893738,-0.03459574,-0.02834272223753942,-0.02900559213526321,-0.0265633633421412,-0.0265039858931122,-0.0267197390894838,-0.0269042100601369,-0.0269542333199986
2.8,-0.02467125,-0.02454758,-0.02646844,-0.02637815,-0.03142988,-0.0258494769839217,-0.02644322990568071,-0.0243804695407808,-0.024281550118989,-0.0243910019848308,-0.0245492814411282,-0.0246064234738586
2.9,-0.02225777,-0.02214821,-0.02386667,-0.02378666,-0.02831734,-0.0233185439301451,-0.02385011878482146,-0.0221190869070228,-0.0219869148839538,-0.0220055495222189,-0.0221368815298388,-0.0221968208948112
3.0,-0.01990928,-0.01981183,-0.02135708,-0.02128502,-0.02536143,-0.02086407493311526,-0.02134816588045396,-0.0198971194410427,-0.0197444449895134,-0.019688537264977,-0.0197919683368062,-0.0198510802029458
3.1,-0.0176971,-0.01761014,-0.01900739,-0.0189437,-0.02261694,-0.01856090136402599,-0.01899750840448178,-0.0177791648266989,-0.0176233662342644,-0.0175104658674212,-0.0175857132759615,-0.0176411823535799
3.2,-0.01566219,-0.01558408,-0.01684868,-0.01679401,-0.0201105,-0.01644997639232315,-0.0168393716396622,-0.0158075463133268,-0.015663316375102,-0.015509574418779,-0.0155577475752037,-0.0156076323286222
3.3,-0.01381906,-0.01374881,-0.01489672,-0.01484817,-0.01784969,-0.01453361298695199,-0.0148971573973995,-0.0139953438762165,-0.0138767152371267,-0.0136985066983093,-0.0137222576233193,-0.0137654157179617
3.4,-0.01217119,-0.01210814,-0.0131524,-0.0131106,-0.01583446,-0.01281943034337019,-0.01262636540377571,-0.0123576005205162,-0.0122707711236721,-0.0120799601675055,-0.0120822129998743,-0.0121183467438327
3.5,-0.01070933,-0.01065261,-0.01160839,-0.01157078,-0.01405089,-0.01130334674894584,-0.01160240012245595,-0.010888482395579,-0.0108345570210679,-0.0106435060612607,-0.0106294165432258,-0.0106588184605862
3.6,-0.00942315,-0.00937201,-0.01024551,-0.01021318,-0.0124805,-0.00996440942094523,-0.01079993570192528,-0.0095838574496175,-0.0095634293072434,-0.0093778527367049,-0.0093503311277027,-0.0093738673545393
3.7,-0.00829598,-0.00824964,-0.0090495,-0.00902292,-0.0110979,-0.00879105351009457,-0.00905228302622163,-0.0084370542635559,-0.0084410842713562,-0.0082683512092002,-0.0082331480931345,-0.0082516921181826
3.8,-0.00731311,-0.00727134,-0.00800766,-0.00798366,-0.00988252,-0.007769129084181259,-0.008006004390608723,-0.0074289870340482,-0.0074536696782104,-0.0072955347144295,-0.007255789472717,-0.0072703260746303
3.9,-0.00645831,-0.00642051,-0.00709958,-0.00707855,-0.00881733,-0.006877819416786224,-0.00709986450578981,-0.0065542347082022,-0.0065924558392098,-0.0064504994131486,-0.0064088814833337,-0.0064204408846519
4.0,-0.00571578,-0.00568244,-0.00630721,-0.00628934,-0.00788591,-0.006105559659090432,-0.006309645218834703,-0.0057916548426933,-0.005836355280042,-0.0057110152219142,-0.0056716484918323,-0.0056805909737314
4.1,-0.00507219,-0.00504074,-0.00561722,-0.00560312,-0.00707494,-0.005429356171816835,-0.005617250943259933,-0.0051315517467426,-0.0051802411029899,-0.0050692809091043,-0.0050317642809126,-0.0050389853692301
4.2,-0.00451268,-0.0044838,-0.00501989,-0.00500685,-0.00636862,-0.004841725816731923,-0.005018327854486415,-0.0045602389003885,-0.0046083323268034,-0.0045111620541741,-0.004477884961814,-0.0044836412611031
4.3,-0.00402688,-0.00399998,-0.00449925,-0.00448793,-0.00574997,-0.004336818142292032,-0.004501719274230709,-0.0040648548378022,-0.0041112189796917,-0.0040251732712037,-0.0039956856377601,-0.0040003545699385
