distance,Hard,Hard_GW,Standard,Standard_GW,Soft,pslibrary.1.0.0 PAW (precision),pslibrary.1.0.0 PAW (efficiency),AVDZ,AVTZ,AVQZ,AV5Z,AV6Z
2.9,-0.03674248,-0.0365742,-0.03819758,-0.03795043,-0.042033,-0.03777773371666626,-0.03820631339181091,-0.0369077497326744,-0.0367516058273406,-0.0366117033158158,-0.0367275517664989,-0.0367780953073858
3.0,-0.03322449,-0.03307459,-0.03452798,-0.03430552,-0.0379661,-0.03415739194588241,-0.03453957617057313,-0.0334977804783419,-0.0333090854807367,-0.0331145405768155,-0.0332093951617601,-0.0332560665191372
3.1,-0.02997425,-0.02983866,-0.03114634,-0.0309452,-0.03423747,-0.03081447047907204,-0.03115896690337649,-0.0303191336941744,-0.0301183405099896,-0.0298857703967631,-0.0299602934386238,-0.0300009284923355
3.2,-0.02700977,-0.02688706,-0.02806835,-0.02788581,-0.03085431,-0.0277711466137589,-0.02808394174803652,-0.0273953831584037,-0.0271999729343395,-0.0269436211467121,-0.0269989680426978,-0.0270320807786777
3.3,-0.02433082,-0.02422054,-0.02529006,-0.02512418,-0.0278104,-0.02502116172604474,-0.02530456853946816,-0.0247287664683009,-0.0245518782252221,-0.0242862043551256,-0.024324798012464,-0.0243501048841891
3.4,-0.02192838,-0.02182768,-0.02279826,-0.02264765,-0.02508568,-0.0225581211352619,-0.02281540499757284,-0.0223183562542843,-0.0221681400788589,-0.0219019418488547,-0.0219261436667109,-0.0219437839996492
3.5,-0.01978373,-0.01969238,-0.02057528,-0.0204374,-0.0226561,-0.02035617400360934,-0.02059073634040942,-0.0201536706886521,-0.0200293418066783,-0.0197729764134952,-0.0197865026559593,-0.0197975249038783
3.6,-0.01787441,-0.01779224,-0.01859765,-0.0184729,-0.02049338,-0.01839885742992919,-0.01784605767738867,-0.0182159496870086,-0.0181189361512772,-0.0178758003960428,-0.0178812002254437,-0.0178866694453438
3.7,-0.01618078,-0.01610494,-0.01684244,-0.01672748,-0.01857065,-0.01666399411556085,-0.01761435253820309,-0.0164947171339436,-0.0164177322738323,-0.0161920183459418,-0.0161932376889527,-0.0161943090027143
3.8,-0.01467889,-0.01461072,-0.01528416,-0.01518022,-0.01686571,-0.01511797797274994,-0.01530260737581557,-0.0149622669241091,-0.014900907668751,-0.0146938164054324,-0.0146936117760817,-0.0146913662917338
3.9,-0.01334917,-0.01328575,-0.01390424,-0.01380803,-0.01535339,-0.01375250952219176,-0.01392053996596587,-0.0136063465864616,-0.0135566150339814,-0.0133674520012414,-0.0133665850461425,-0.0133619468618083
4.0,-0.0121692,-0.01211104,-0.01268029,-0.01259268,-0.01401308,-0.01254745232085952,-0.01269262518212599,-0.0124031915865686,-0.0123592737501833,-0.0121881733701689,-0.0121896278204601,-0.0121832837537439
4.1,-0.01112052,-0.01106906,-0.0115937,-0.01151221,-0.01282057,-0.01146770365335215,-0.01160933903179284,-0.0113360250090843,-0.0112962234410522,-0.0111403059330299,-0.0111431680277785,-0.0111357711530839
4.2,-0.01019176,-0.01014004,-0.01062586,-0.01055124,-0.01175725,-0.01051013420737945,-0.01064183742187197,-0.010389223971604,-0.0103513378139851,-0.0102096349978936,-0.0102148323742759,-0.0102069710019528
4.3,-0.00936256,-0.00931643,-0.00976406,-0.00969605,-0.01080865,-0.009661682507385194,-0.00977542619284577,-0.0095459832633716,-0.0095094927765169,-0.0093794133090924,-0.0093863718083304,-0.0093783294802615
4.4,-0.00862252,-0.00857953,-0.00899461,-0.0089318,-0.00995893,-0.008900987598281063,-0.009009016887375765,-0.0087936533881961,-0.0087574861724982,-0.0086377554748963,-0.0086463175395207,-0.0086384695020651
4.5,-0.00796086,-0.00792082,-0.00830557,-0.00824641,-0.00919852,-0.008214035604396486,-0.00831839135366863,-0.0081207497768619,-0.0080854748248237,-0.0079744071461206,-0.0079841175344881,-0.0079765916761563
4.6,-0.00736599,-0.0073287,-0.00768552,-0.00763081,-0.0085161,-0.007603955838021648,-0.007695658283182638,-0.0075168401236624,-0.0074825632866922,-0.0073792377940364,-0.007389534314875,-0.0073824035698597
4.7,-0.00683018,-0.00679545,-0.0071279,-0.00707801,-0.00790225,-0.007053469055563255,-0.007139865275348711,-0.0069729906551203,-0.0069395935605532,-0.0068434061632537,-0.0068536784675645,-0.0068471553491998
4.8,-0.00634658,-0.00631435,-0.00662463,-0.00657801,-0.00734476,-0.006551418578283119,-0.006634549429463732,-0.0064811843470872,-0.0064488912189963,-0.0063591621744615,-0.0063694532536965,-0.006363334499993
4.9,-0.00590828,-0.00587837,-0.00616735,-0.00612407,-0.00683787,-0.006097804408000229,-0.006175901148935736,-0.0060360581048529,-0.0060050863629869,-0.0059213702207473,-0.0059314942235738,-0.005925773842271
5.0,-0.00551045,-0.00548366,-0.00575261,-0.00571152,-0.00637659,-0.005690449631174488,-0.005756029124086126,-0.005631592767814,-0.0056022379262019,-0.0055243757738012,-0.0055336344533912,-0.0055284387088713
