distance,Hard,Hard_GW,Standard,Standard_GW,Soft,pslibrary.1.0.0 (precision),pslibrary.1.0.0 (efficiency),AVDZ,AVTZ,AVQZ,AV5Z,AV6Z,pslibrary.1.0.0 PAW (precision),pslibrary.1.0.0 PAW (efficiency)
3.2,-0.06997101,-0.06989669,-0.07165837,-0.07136179,-0.07523798,,,-0.06951451199939,-0.07002200459074,-0.06974580889089,-0.06983615073557,-0.0698681284834933,-0.07075632747000782,-0.07120585992947781
3.3,-0.06374739,-0.06367913,-0.0652927,-0.06502056,-0.06856651,,,-0.06332990523467,-0.06382760172238,-0.06355303870647,-0.06361399224023,-0.0636408985999216,-0.06445647835789714,-0.06438341572766149
3.4,-0.05817702,-0.05811464,-0.05959506,-0.05934463,-0.06259714,,,-0.05779918838792,-0.05827511575643,-0.05801960071982,-0.05805688033645,-0.058067282710145,-0.05882140394237467,-0.05920209153964606
3.5,-0.05319461,-0.0531371,-0.05449793,-0.05426759,-0.05725806,,,-0.0528146043191,-0.05326821834043,-0.05304100315878,-0.0530595069101,-0.0530811394279713,-0.0537776334215323,-0.05459275114662887
3.6,-0.04873746,-0.04868454,-0.04993932,-0.04972675,-0.05248301,,,-0.04834758105926,-0.04879330377488,-0.04859738170208,-0.04859710958809,-0.0486218344099649,-0.04926203632885517,-0.0495862602545003
3.7,-0.04474849,-0.04469955,-0.04585978,-0.04566316,-0.04821003,,,-0.04436029476379,-0.04479458869183,-0.04463240875379,-0.04461989151025,-0.0446289588925244,-0.0452263124154797,-0.04552672635918498
3.8,-0.0411755,-0.04113023,-0.04220433,-0.04202273,-0.04438221,,,-0.04079151978494,-0.04119506483211,-0.04106254531898,-0.04104703482155,-0.0410558475051193,-0.04161005235573612,-0.04188583997506612
3.9,-0.03797142,-0.03792959,-0.03892573,-0.03875738,-0.04094781,,,-0.03758901023663,-0.03796126217495,-0.03785540983284,-0.03783717819551,-0.0378481212595903,-0.03836400350132863,-0.03862033496397999
4.0,-0.03509433,-0.03505555,-0.03598197,-0.03582607,-0.03786028,,,-0.03471793552814,-0.03505780590165,-0.03497807650258,-0.03495875640929,-0.0349702801646685,-0.03545197467906291,-0.03569238746831616
4.1,-0.03250653,-0.03247014,-0.03333345,-0.03318823,-0.03508065,,,-0.03214917946254,-0.03245449135932,-0.03239380993955,-0.03237639464419,-0.0323806396223883,-0.03283124397921711,-0.03305532992362714
4.2,-0.03017436,-0.03014045,-0.03094493,-0.03080992,-0.0325742,,,-0.02983784323148,-0.03010778030956,-0.03005907190535,-0.03004601043383,-0.0300460877142477,-0.03047038222553056,-0.03067446778482008
4.3,-0.02806809,-0.02803632,-0.02878773,-0.02866199,-0.0303113,,,-0.02775181738414,-0.02798828444145,-0.02794746734295,-0.02793930392325,-0.0279386222779467,-0.0283345588152315,-0.02853020883821955
4.4,-0.02616197,-0.02613206,-0.02683639,-0.02671909,-0.02826331,,,-0.02586470686349,-0.02606688755806,-0.02603151273936,-0.02602824737148,-0.0260317941048639,-0.02640282096467672,-0.02658826670972303
4.5,-0.02443301,-0.02440486,-0.02506591,-0.02495606,-0.02640493,,,-0.02415882426018,-0.02432916761792,-0.02429896296503,-0.024299779307,-0.0243004261212956,-0.02465367166155374,-0.02482006942113912
4.6,-0.02286134,-0.02283482,-0.02345481,-0.02335196,-0.02471243,,,-0.02260886297314,-0.0227541718438,-0.02272668833081,-0.02273077004066,-0.0227274483456604,-0.0230597634406422,-0.02321990257655671
4.7,-0.02142916,-0.02140423,-0.02198657,-0.02189012,-0.02316855,,,-0.02119414233913,-0.02131849843256,-0.0212929197175,-0.02129917833927,-0.0212938748384004,-0.02160504157177456,-0.02176069082497634
4.8,-0.02012108,-0.0200974,-0.02064642,-0.02055579,-0.02175716,,,-0.01989887974673,-0.02000473208884,-0.01997969760176,-0.01998731679348,-0.0199840963242133,-0.02028079840351893,-0.02017902773786773
4.9,-0.01892343,-0.01890089,-0.01941912,-0.01933338,-0.02046564,,,-0.01871191852235,-0.01880008345511,-0.01877613742399,-0.01878484507167,-0.0187844624795455,-0.01906757778010615,-0.01895750763492288
5.0,-0.01782436,-0.0178033,-0.01829158,-0.01821119,-0.01928162,,,-0.01762373467634,-0.01769747756763,-0.01767489210646,-0.01768577666606,-0.0176839167664873,-0.01795136582609302,-0.01855464274012775
