distance,Hard,Hard_GW,Standard,Standard_GW,Soft,pslibrary.1.0.0 PAW (precision),pslibrary.1.0.0 PAW (efficiency),AVDZ,AVTZ,AVQZ,AV5Z,AV6Z
3.9,-0.02177413,-0.02177033,-0.02223302,-0.022156,-0.02331156,-0.02227784363344654,-0.02218124313503722,-0.0218011442950368,-0.0219672013132182,-0.0218565828954991,-0.0218445124629537,-0.0218530255485059
4.0,-0.0199599,-0.0199571,-0.02038281,-0.02031253,-0.02138037,-0.02042991691951102,-0.02033998321599029,-0.0199729976107824,-0.0201304326974198,-0.0200426511730901,-0.0200262309990939,-0.0200345087066778
4.1,-0.01833747,-0.01833491,-0.01872931,-0.01866425,-0.01965149,-0.01877709600012167,-0.01869573389035395,-0.0183480814371071,-0.0184915562592614,-0.0184225876073673,-0.0184044484899033,-0.0184121944864651
4.2,-0.0168842,-0.01688202,-0.01724865,-0.01718873,-0.0181046,-0.01729774780687876,-0.0172231885489964,-0.0168954643035686,-0.0170209714396517,-0.0169669309623876,-0.0169502228907511,-0.0169569386639999
4.3,-0.01558309,-0.01558099,-0.01592124,-0.01586579,-0.01671816,-0.01597159984044083,-0.01590221075002773,-0.0155998844271898,-0.0157055185332909,-0.0156628426238086,-0.0156481179919102,-0.0156536661235688
4.4,-0.01441565,-0.01441405,-0.01472985,-0.01467736,-0.01547276,-0.01478096468531476,-0.01471674576259829,-0.0144409631883648,-0.0145259710548308,-0.0144919600714382,-0.0144800738599101,-0.0144843329889173
4.5,-0.01336513,-0.01336391,-0.01365835,-0.01361034,-0.01435141,-0.01370924338357327,-0.01364992251387775,-0.0134003908557148,-0.0134665904746441,-0.0134382424557483,-0.013429793588233,-0.0134329960972004
4.6,-0.01241973,-0.01241869,-0.01269353,-0.01264795,-0.01334057,-0.01274650376990394,-0.01269194489691472,-0.0124644898891613,-0.0125124633133691,-0.0124884946963757,-0.0124828124124848,-0.0124849817058759
4.7,-0.01156519,-0.01156434,-0.01182102,-0.01177936,-0.01242671,-0.01187492237318111,-0.0118229485840402,-0.0116201166406203,-0.0116520070397793,-0.0116308825593148,-0.0116280778798253,-0.011629358176375
4.8,-0.01079295,-0.01079252,-0.01103249,-0.0109925,-0.01159969,-0.01108443097200507,-0.01103558649492697,-0.0108552714268998,-0.0108745085255402,-0.0108556940196954,-0.0108549731897487,-0.0108557038162832
